11-21057T,11/11,1400 hrs,11/10 1930 hrs,11/11 1100 hrs Bike Theft,Agave Hall,Pending
11-21073T,11/11,1953 hrs,11/11 1300 hrs,11/11 1945 hrs Bike Theft,Business Administration,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, November 12, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,S Power Rd / E,
11-21096P,11/12,0007 hrs,11/12 0007 hrs,11/12 0127 hrs Driving on Suspended Drivers License,,Cleared by Arrest
"",,,,,Williams Field Rd,
11-21097T,11/12,0035 hrs,11/12 0030 hrs,11/12 0057 hrs Assault,Palo Verde West,Pending
11-21100T,11/12,0110 hrs,11/12 0110 hrs,11/12 0633 hrs Minor With Alcohol in Body - 2 arrests,Vista del Sol,Cleared by Arrest
11-21120T,11/12,1042 hrs,11/12 1042 hrs,11/12 1055 hrs Structure Burglary,700 Block E Alpha Dr,Pending
11-21122T,11/12,1143 hrs,11/10 1630 hrs,11/11 1300 hrs Theft,800 S Cady Mall,Pending
"",,,,,Classroom/Lab/Comput,
11-21145W,11/12,2155 hrs,11/12 2155 hrs,11/12 2155 hrs Criminal Damage,,Pending
"",,,,,er Classroom,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, November 13, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21203T,11/13,2359 hrs,11/11 2300 hrs,11/13 2345 hrs Bike Theft,Towers Apartments,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, November 14, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21220T,11/14,0830 hrs,11/13 1700 hrs,11/14 0800 hrs Criminal Damage,Sage South,Pending
11-21227T,11/14,1005 hrs,11/11 0925 hrs,11/11 1300 hrs Theft,Engineering Center G,Pending
11-21229T,11/14,1015 hrs,11/14 0735 hrs,11/14 0945 hrs Bike Theft,Life Sciences E,Pending
11-21234D,11/14,1104 hrs,10/31 0600 hrs,11/14 1110 hrs Theft,Taylor Place,Pending
11-21245T,11/14,1252 hrs,11/13 0800 hrs,11/13 1200 hrs Theft,Karsten Golf,Pending
11-21249T,11/14,1333 hrs,11/14 1330 hrs,11/14 1345 hrs Theft,Hayden Library,Pending
11-21259T,11/14,1547 hrs,10/31 0000 hrs,11/14 1547 hrs Theft,Barrett,Pending
11-21261T,11/14,1625 hrs,11/14 1200 hrs,11/14 1630 hrs Criminal Damage,Cholla,Pending
11-21262T,11/14,1651 hrs,11/1 1800 hrs,11/01 1900 hrs Theft,Barrett,Pending
11-21264T,11/14,1744 hrs,11/11 0000 hrs,11/14 1744 hrs Bike Theft,Barrett,Pending
11-21271T,11/14,2123 hrs,11/14 2123 hrs,11/14 2123 hrs Possession of Marijuana,Arboretum,Pending
11-21275D,11/14,2213 hrs,11/14 1400 hrs,11/14 2200 hrs Bike Theft,University Center,Pending
11-21282T,11/14,2336 hrs,11/14 2140 hrs,11/14 2330 hrs Criminal Damage,Cholla,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, November 15, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21295T,11/15,0215 hrs,11/15 0215 hrs,11/15 0215 hrs Driving With A Suspended License,E 10th St/S Mill Ave,Cleared By Arrest
11-21307P,11/15,0905 hrs,10/25 1048 hrs,"10/26 1506 hrs Criminal Damage, Theft",Santa Hall,Pending
