10-11974T,8/16,1238 hrs,8/14 0000 hrs,8/16,1230 hrs Theft of Bicycle,Palo Verde Main,Pending
10-11987W,8/16,1650 hrs,7/24 0000 hrs,8/16,1650 hrs Violation of Injunction against Harassment,West ASU Police Station,Pending
"",,,,,Possession of Marijuana/possession of Drug,,
10-11999T,8/16,1959 hrs,8/16 1959 hrs,8/16,1959 hrs,Parking Structure 4,Cleared By Arrest
"",,,,,Paraphernalia,,
10-11988T,8/16,1703 hrs,8/16 1400 hrs,8/16,1703 hrs Theft of Personal Property,Computing Commons,Pending
10-12000E,8/16,2007 hrs,8/16 1900 hrs,8/16,2007 hrs Harassment,7000 blk of Thistle Ave,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Tuesday, August 17, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
"",,,,,Minor in Possession of Alcohol / Under 21 with,,
10-12017T,8/17,0220 hrs,8/17 0220 hrs,8/17,0245 hrs,Vista Del Sol,Cleared By Arrest
"",,,,,Alcohol in the Body,,
10-12018T,8/17,0231 hrs,8/17 0231 hrs,8/17,0231 hrs Information Only,Memorial Union,Closed
10-12020T,8/17,0626 hrs,8/17 0626 hrs,8/17,0626 hrs Warrant Arrest,325 E Apache,Cleared By Arrest
10-12021T,8/17,0655 hrs,8/17 0650 hrs,8/17,0700 hrs Trespassing / Loitering,Farmer,Cleared By Arrest
10-12035T,8/17,1318 hrs,8/17 1318 hrs,8/17,1318 hrs Non Injury Accident,E 5th Street / S College Ave,Pending
10-12048T,8/17,1701 hrs,8/17 1701 hrs,8/17,1713 hrs Possession of Marijuana,Palo Verde West,Cleared By Arrest
10-12051T,8/17,1740 hrs,8/13 unk,8/13,unk Theft of Personal Property,Physical Sciences D,Pending
10-12055D,8/17,1847 hrs,8/17 unk,unk,unk Bicycle Theft,UCENT Building,Pending
10-12056T,8/17,1850 hrs,8/16 1830 hrs,8/17,1330 hrs Bicycle Theft,Cottonwood Hall,Pending
10-12058E,8/17,1839 hrs,8/17 1839 hrs,8/17,2015 hrs Information Only,6400 Blk S Roslyn,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, August 18, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-12076T,8/17,2354 hrs,8/17 2354 hrs,8/18,0458 hrs Under 21 with Alcohol in the Body,Noble Library,Cleared by Arrest
"",,,,,Possession of Marijuana/Paraphernalia/Under 21 with,,
10-12077T,8/18,0001 hrs,8/18 0001 hrs,8/18,0031 hrs,Parking Structure 1,Cleared by Arrest
