11-14232T,8/20,0010 hrs,8/20 0010 hrs,8/20 0030 hrs Minor in Consumption of Alcohol,Hassayampa Phase II,Cleared By Arrest
"",,,,"Driving on Suspended License, Minor in Consumption",,
11-14233T,8/20,0023 hrs,8/20 0023 hrs,8/20 0317 hrs,Cholla Hall,Cleared By Arrest
"",,,,of Alcohol,,
"",,,,,E. Apache Blvd. / S.,
11-14237T,8/20,0038 hrs,8/20 0038 hrs,8/20 0040 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,Paseo Del Saber,
"",,,,,E. Apache Blvd. / S.,
11-14239T,8/20,0052 hrs,8/20 0052 hrs,8/20 0100 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,Paseo Del Saber,
"",,,,,Vista Del Sol Parking,
11-14246T,8/20,0119 hrs,8/20 0119 hrs,8/20 0122 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,Structure,
11-14247T,8/20,0122 hrs,8/20 0122 hrs,8/20 0130 hrs Minor in Possession of Alcohol,Hassayampa Phase I,Cleared By Arrest
"",,,,"Minor in Consumption of Alcohol, Possession of a",,
11-14250T,8/20,0142 hrs,8/20 0142 hrs,8/20 0143 hrs,Vista Del Sol,Cleared By Arrest
"",,,,Fictitious Drivers License,,
11-14253T,8/20,0208 hrs,8/20 0208 hrs,8/20 0210 hrs Minor in Consumption of Alcohol,Vista Del Sol,Cleared By Arrest
11-14254T,8/20,0209 hrs,8/20 0209 hrs,8/20 0215 hrs Minor in Consumption of Alcohol,Vista Del Sol,Cleared By Arrest
"",,,,"Minor in Consumption of Alcohol, Minor in Possession",,
11-14255T,8/20,0209 hrs,8/20 0209 hrs,8/20 0210 hrs,Vista Del Sol,Cleared By Arrest
"",,,,of Alcohol,,
11-14266D,8/20,0441 hrs,8/20 0441 hrs,8/20 1732 hrs 2nd Degree Burglary,Las Casas,Pending
"",,,,,Vista Del Sol Parking,
11-14267T,8/20,0458 hrs,8/20 0458 hrs,8/20 0506 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,Structure,
11-14273T,8/20,0856 hrs,8/20 0856 hrs,8/20 1710 hrs Theft of Means of Transportation,Wells Fargo Arena,Pending
11-14277T,8/20,1127 hrs,8/20 1115 hrs,8/20 1120 hrs 2nd Degree Burglary,Palo Verde Main,Pending
"",,,,,Vista Del Sol Parking,
11-14286T,8/20,1819 hrs,8/20 1819 hrs,8/20 2221 hrs Minor in Consumption,,Cleared By Arrest
"",,,,,Structure,
11-14289T,8/20,1910 hrs,8/20 1910 hrs,8/20 1910 hrs Warrant Arrest,Memorial Union,Cleared By Arrest
"",,,,"Driving on a Suspended License, No Mandatory",,
11-14301T,8/20,2100 hrs,8/20 2100 hrs,8/21 0628 hrs,600 E. University Dr.,Cleared By Arrest
"",,,,Insurance,,
