10-13906T,9/10,2142 hrs,9/10 2142 hrs,9/10,2142 hrs,Under 21 with Alcohol in the Body,Sonora Center,Cleared by Arrest
10-13918T,9/10,2318 hrs,9/10 2318 hrs,9/10,2318 hrs,Warrant Arrest,Vista Del Sol,Cleared by Arrest
10-13920T,9/10,2326 hrs,9/10 2326 hrs,9/10,2326 hrs,Aggressive Driving,S Rural Rd / E Encanto Dr,Cleared by Arrest
10-13923T,9/10,2330 hrs,9/10 2330 hrs,9/10,2330 hrs,Possession of Drug Paraphernalia,Parking Structure 4,Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13937T,9/11,0044 hrs,9/11 0044 hrs,9/11,0044 hrs,Disorderly Conduct,Vista del Sol,Cleared by Arrest
10-13938T,9/11,0048 hrs,9/11 0048 hrs,9/11,0048 hrs,Criminal Nuisance / Warrant Arrest,Vista del Sol,Cleared by Arrest
"",,,,,,,E Apache Blvd / S,
10-13939T,9/11,0052 hrs,9/11 0052 hrs,9/11,0052 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,McAllister Ave,
10-13943T,9/11,0127 hrs,9/11 0127 hrs,9/11,0127 hrs,Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-13945T,9/11,0131 hrs,9/11 0131 hrs,9/11,0131 hrs,Under 21 with Alcohol in the Body,Hassayampa Phase I,Cleared by Arrest
"",,,,,,Under 21 with Alcohol in the Body / Public,,
10-13949T,9/11,0149 hrs,9/11 0149 hrs,9/11,0149 hrs,,Vista del Sol,Cleared by Arrest
"",,,,,,Consumption of Alcohol,,
10-13955T,9/11,0232 hrs,9/11 0232 hrs,9/11,0232 hrs,Under 21 with Alcohol in the Body,Hassayampa Phase II,Cleared by Arrest
"",,,,,,Under 21 in Possession of Alcohol / Public,,
10-13957T,9/11,0235 hrs,9/11 0235 hrs,9/11,0235 hrs,,Vista del Sol,Cleared by Arrest
"",,,,,,Urination,,
10-13958T,9/11,0236 hrs,9/11 0236 hrs,9/11,0236 hrs,Threatening / Intimidating,Vista del Sol,Cleared by Arrest
10-13963T,9/11,0330 hrs,9/10 1700 hrs,9/11,0325 hrs,Vehicle Theft,Vista del Sol,Pending
10-13965T,9/11,0404 hrs,9/11 0355 hrs,9/11,0404 hrs,Information Only,Hassayampa Phase II,Closed
10-13966T,9/11,0546 hrs,9/11 0546 hrs,9/11,0612 hrs,Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-13985T,9/11,1344 hrs,9/11 1100 hrs,9/11,1344 hrs,Found Property,Lot 40,Pending
10-13993T,9/11,1807 hrs,9/11 1807 hrs,9/11,1807 hrs,Information Only,Sun Devil Stadium,Closed
"",,,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-13997T,9/11,1901 hrs,9/11 1901 hrs,9/11,1901 hrs,,Sun Devil Stadium,Cleared by Arrest
"",,,,,,Possession of Alcohol,,
10-14000T,9/11,1912 hrs,9/11 1912 hrs,9/11,1912 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-14002T,9/11,1936 hrs,9/11 1936 hrs,9/11,1936 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
"",,,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-14003T,9/11,1938 hrs,9/11 1938 hrs,9/11,1938 hrs,,Sun Devil Stadium,Cleared by Arrest
"",,,,,,Possession of Alcohol,,
10-14004T,9/11,1954 hrs,9/11 1954 hrs,9/11,1954 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
