10-7666T,5/7,0900 hrs,5/4 0001 hrs,5/6,0001 hrs,Bike Theft,Best Hall,Pending
10-7671T,5/7,1008 hrs,5/7 1008 hrs,5/7,1008 hrs,Harassment,Palo Verde West,Pending
10-7672T,5/7,1009 hrs,5/6 2000 hrs,5/7,1000 hrs,Theft,Hassayampa  Phase 1,Pending
10-7682T,5/7,1345 hrs,5/7 1330 hrs,5/7,1345 hrs,Disorderly Conduct,Chili's,Cleared by Arrest
10-7689T,5/7,1448 hrs,5/7 1400 hrs,5/7,1445 hrs,Forgery,Vista del Sol,Pending
10-7692T,5/7,1449 hrs,5/7 1400 hrs,5/7,1430 hrs,Stolen Bicycle,Vista del Sol,Pending
10-7698T,5/7,1733 hrs,5/4 2200 hrs,5/4,2359 hrs,Lost Item,SRC,Closed
10-7699T,5/7,2123 hrs,5/7 2123 hrs,5/7,2123 hrs,Stolen Bicycle,Vista del Sol,pending
"",,,,,,,E Apache Blvd/ S Paseo,
10-7705T,5/7,2256 hrs,5/7 2256 hrs,5/7,2256 hrs,Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,,Del Saber,
"",,,,,,,E Rio Salado Pkwy/S,
10-7722T,5/7,2324 hrs,5/7 2324 hrs,5/7,2324 hrs,Driving on Suspended,,Cleared by Arrest
"",,,,,,,Ash Ave,
10-7729T,5/7,2350 hrs,5/7 2350 hrs,5/7,2350 hrs,Minor with Alcohol in Body,Adelphi Commons II,Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,E Apache Blvd/ S Paseo,
10-7733T,5/8,0015 hrs,5/8 0015 hrs,5/8,0015 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
10-7736T,5/8,0010 hrs,5/8 0010 hrs,5/8,0010 hrs,Under 21 with Alcohol in the Body,Vista Del Sol,Cleared by Arrest
"",,,,,,,E Apache Blvd/ S Paseo,
10-7744T,5/8,0057 hrs,5/8 0057 hrs,5/8,0010 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
"",,,,,,Driving with Suspended License / Possession of,E Apache Blvd / S,
10-7748T,5/8,0107 hrs,5/8 0118 hrs,5/8,0118 hrs,,,Cleared by Arrest
"",,,,,,Marijuana / Other Agency Warrant,Dorsey Ln,
"",,,,,,,E Apache Blvd / Paseo,
10-7749T,5/8,0104 hrs,5/8 0104 hrs,5/8,0104 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
10-7750T,5/8,0109 hrs,5/8 0109 hrs,5/8,0109 hrs,Under 21 with Alcohol in the Body,S Rural Rd/E Lemon St,Cleared by Arrest
